Maakond,Aasta,Hoone liik,Tekkepõhjus,Kuu,Hoonetulekahjud
Valga maakond,2014,Mitteeluhooned,!Sisestamata!,3,1
Tartu maakond,2014,Mitteeluhooned,!Sisestamata!,3,3
Rapla maakond,2014,Mitteeluhooned,!Sisestamata!,3,1
Lääne maakond,2014,Mitteeluhooned,!Sisestamata!,3,1
Harju maakond,2014,Mitteeluhooned,!Sisestamata!,3,2
Võru maakond,2014,Mitteeluhooned,Laste mängimine lahtise tulega,4,1
Võru maakond,2014,Eluhooned,Suitsetamisel,4,1
Võru maakond,2014,Mitteeluhooned,!Sisestamata!,4,2
Võru maakond,2014,Mitteeluhooned,Rike elektripaigaldises,4,2
Viljandi maakond,2014,Mitteeluhooned,Summutist jt seadmetest lenduvad sädemed,4,1
Viljandi maakond,2014,Eluhooned,Lahtise tule kasutamisel,4,1
Viljandi maakond,2014,Mitteeluhooned,!Sisestamata!,4,1
Viljandi maakond,2014,Mitteeluhooned,Kindlaks tegemata põhjus,4,1
Viljandi maakond,2014,Eluhooned,Kuritahtlik,4,1
Viljandi maakond,2014,Mitteeluhooned,Rike elektripaigaldises,4,1
Viljandi maakond,2014,Eluhooned,Rike elektriseadmes,4,2
Valga maakond,2014,Eluhooned,Lahtise tule kasutamisel,4,1
Valga maakond,2014,Mitteeluhooned,Rike elektripaigaldises,4,1
Valga maakond,2014,Mitteeluhooned,Rike kütteseadmes,4,2
Valga maakond,2014,Mitteeluhooned,Konstruktsioonipuudus,4,1
Valga maakond,2014,Mitteeluhooned,!Sisestamata!,4,5
Tartu maakond,2014,Mitteeluhooned,Muu hooletus,4,2
Tartu maakond,2014,Eluhooned,Suitsetamisel,4,2
Tartu maakond,2014,Eluhooned,Rike elektripaigaldises,4,2
Tartu maakond,2014,Eluhooned,Kuritahtlik,4,2
Tartu maakond,2014,Mitteeluhooned,Kütteseadmete kasutamisel,4,1
Tartu maakond,2014,Mitteeluhooned,Rike elektripaigaldises,4,1
Tartu maakond,2014,Mitteeluhooned,Lahtise tule kasutamisel,4,4
Tartu maakond,2014,Mitteeluhooned,!Sisestamata!,4,5
Tartu maakond,2014,!Sisestamata!,Lahtise tule kasutamisel,4,1
Tartu maakond,2014,Eluhooned,Tahma süttimine suitsulõõris - tahmapõleng korstnas,4,1
Tartu maakond,2014,Mitteeluhooned,Suitsetamisel,4,1
Tartu maakond,2014,Eluhooned,Konstruktsioonipuudus,4,1
Saare maakond,2014,Eluhooned,Tahma süttimine suitsulõõris - tahmapõleng korstnas,4,1
Saare maakond,2014,Eluhooned,Kindlaks tegemata põhjus,4,1
Saare maakond,2014,Mitteeluhooned,!Sisestamata!,4,1
Rapla maakond,2014,Eluhooned,Lahtise tule kasutamisel,4,1
Rapla maakond,2014,Mitteeluhooned,Rike elektripaigaldises,4,3
Rapla maakond,2014,Mitteeluhooned,!Sisestamata!,4,2
Rapla maakond,2014,Eluhooned,Rike elektripaigaldises,4,1
Pärnu maakond,2014,Mitteeluhooned,!Sisestamata!,4,3
